ourName,ourCategory,ourSource,matchedDescription,matchedCategory,foodCode,score,tier,coreMismatch,compositeDish,cup,tbsp,tsp,piece
BAKING POWDER,,usda,,,,25.8,no-match,no,no,,,,
BAKING POWDER,,usda,,,,25.8,no-match,no,no,,,,
"Snacks, popcorn, oil-popped, white popcorn, salt added",,usda,,,,26.4,no-match,no,no,,,,
"BURGER KING, DOUBLE WHOPPER, no cheese",,usda,,,,26.4,no-match,no,no,,,,
"Squash, summer, zucchini, includes skin, cooked, boiled, drained, with salt",,usda,,,,26.7,no-match,no,no,,,,
Foul moudammas (with oil),prepared,lebanese,,,,27.2,no-match,no,no,,,,
"Fish, tuna, white, canned in oil, without salt, drained solids",,usda,,,,27.2,no-match,no,no,,,,
"Fish, tuna, light, canned in oil, without salt, drained solids",,usda,,,,27.2,no-match,no,no,,,,
"Bread, pita, whole wheat",,usda,,,,27.7,no-match,no,no,,,,
"Snacks, rice cakes, brown rice, multigrain, unsalted",,usda,,,,28.2,no-match,no,yes,,,,
"Chicken wing, baked, coated",,usda,,,,28.3,no-match,no,no,,,,
"Lemon juice, 100%, freshly squeezed",,usda,,,,29.6,no-match,no,no,,,,
"BURGER KING, WHOPPER, no cheese",,usda,,,,30.2,no-match,no,no,,,,
"Tuna, canned in water, drained",protein,usda,,,,30.7,no-match,no,no,,,,
"Chicken leg, drumstick and thigh, stewed, skin not eaten",,usda,,,,30.8,no-match,no,no,,,,
"Chicken leg, drumstick and thigh, stewed, skin eaten",,usda,,,,30.8,no-match,no,no,,,,
"Chicken leg, drumstick and thigh, sauteed, skin eaten",,usda,,,,30.9,no-match,no,no,,,,
"Chicken leg, drumstick and thigh, sauteed, skin not eaten",,usda,,,,30.9,no-match,no,no,,,,
"Cocoa, dry powder, unsweetened, HERSHEY'S European Style Cocoa",,usda,,,,31.4,no-match,no,no,,,,
"Snacks, rice cakes, brown rice, plain, unsalted",,usda,,,,31.5,no-match,no,yes,,,,
"Peanuts, all types, oil-roasted, without salt",,usda,,,,31.5,no-match,no,no,,,,
"Chicken breast, raw, skinless",protein,usda,,,,31.8,no-match,no,no,,,,
"Chicken thigh, raw, skinless",protein,usda,,,,31.9,no-match,no,no,,,,
